Month,Dataset,SKU,Actual,Predicted,Iteration
2022-12-01,Test,df_21_comsubs_850243008598,209,199.85,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-01-01,Test,df_21_comsubs_850243008598,274,248.59,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-02-01,Test,df_21_comsubs_850243008598,311,292.51,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-03-01,Test,df_21_comsubs_850243008598,349,327.5,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-04-01,Train,df_21_comsubs_850243008598,363,350.9,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-05-01,Train,df_21_comsubs_850243008598,373,372.25,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-06-01,Train,df_21_comsubs_850243008598,379,385.14,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-07-01,Train,df_21_comsubs_850243008598,378,390.84000000000003,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-08-01,Train,df_21_comsubs_850243008598,402,408.77,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-09-01,Train,df_21_comsubs_850243008598,388,405.58,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-10-01,Train,df_21_comsubs_850243008598,380,384.11,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-11-01,Train,df_21_comsubs_850243008598,368,366.29,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2023-12-01,Train,df_21_comsubs_850243008598,300,332.03,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-01-01,Train,df_21_comsubs_850243008598,358,370.73,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-02-01,Train,df_21_comsubs_850243008598,423,434.66999999999996,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-03-01,Train,df_21_comsubs_850243008598,472,460.44,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-04-01,Train,df_21_comsubs_850243008598,457,486.64,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-05-01,Train,df_21_comsubs_850243008598,496,502.23,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-06-01,Train,df_21_comsubs_850243008598,567,564.95,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-07-01,Train,df_21_comsubs_850243008598,675,636.99,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-08-01,Train,df_21_comsubs_850243008598,699,689.46,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-09-01,Test,df_21_comsubs_850243008598,26,636.33,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-10-01,Test,df_21_comsubs_850243008598,0,613.84,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-11-01,Test,df_21_comsubs_850243008598,0,593.35,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2024-12-01,Test,df_21_comsubs_850243008598,0,558.75,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2022-06-01,Test,df_35_comsubs_850243008192,0,0.8400000000000001,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
2022-07-01,Test,df_35_comsubs_850243008192,3,0.91,40_comsub_M_NRP1_NSF_NHF_NSto_Nhub_YMS+PRS_AP2+23+03+30+24+08+30
